    Date, Time,Site_22,Site_23,Site_24,Site_25,Site_26,Site_28,Site_72,Site_72, Site_A, Site_H, Site_K, Site_R,Site_V
20150108,1:00,0.02,                     BL,                     BL,                     BL,                    LST,0,                    LST,                    LST,0,                     BL,0,1.33,0.05
20150108,2:00,                     ST,0,0,0,                    LST,                     ST,                    LST,                    LST,                     ST,0.02,0,                     ST,0.05
20150108,3:00,                     BL,0,0,0,                    LST,                     BL,                    LST,                    LST,                     BL,0,0,                     BL,0.04
20150108,4:00,0,0,0,0,                    LST,0,                    LST,                    LST,0,0,0,0.54,0.03
20150108,5:00,0,0,0,0,                    LST,0,                    LST,                    LST,0,0.01,0.02,0.19,0.04
20150108,6:00,0.03,0.03,0,0.01,                    LST,0,                    LST,                    LST,0.01,0,0.03,0.23,0.04
20150108,7:00,0.07,0,0,0.02,                    LST,0,                    LST,                    LST,0.02,0.02,0.02,0.69,0.1
20150108,8:00,0.07,0,0,0,                    LST,0,                    LST,                    LST,0,0.03,0,0.25,0.13
20150108,9:00,0.15,0,0,0,                    LST,0,                    LST,                    LST,0.02,0,0.11,0.16,0.26
20150108,10:00,0.34,0,0,0,                     XX,0.05,                    LST,                    LST,0.12,0,0.22,0.02,0.32
20150108,11:00,0,0.02,0.02,0,                     XX,0,                    LST,                    LST,0.06,0,0.05,0.02,0.06
20150108,12:00,0.09,0.03,0.02,0,                     XX,0,                    LST,                    LST,0.02,0,0.17,0.03,0.04
20150108,13:00,0.09,0.04,0.01,0,                     XX,0,                    LST,                    LST,0.06,0.03,0.05,0.02,0.03
20150108,14:00,0.2,0.03,0.02,0,                     BL,0,                    LST,                    LST,0.03,0.02,                     IQ,0.04,0.02
20150108,15:00,0.25,0.03,0.04,0.02,                     IQ,0,                    LST,                    LST,0.04,0.02,0.08,0.05,0.04
20150108,16:00,0.14,0.06,0.03,0,                    AQI,0,                    LST,                    LST,0.03,0.01,0.63,0.05,0.03
20150108,17:00,0.21,0.08,0.03,0.02,                    AQI,0,                    LST,                    LST,0.03,0.02,0.45,0.07,0.05
